dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
59150004,48.5,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150004
59150005,33.3,64.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150005
59150006,45.7,51.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150006
59150007,43.9,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150007
59150008,45.9,42.3,5.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150008
59150009,34.6,62.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150009
59150010,46.9,48.6,0.0,0.0,0.0,0.0,2.8,0.0,1.1,StatCan area #59150010
59150012,44.3,37.7,11.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150012
59150013,29.9,59.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150013
59150014,29.4,50.6,11.4,0.0,0.0,2.9,5.3,0.0,0.0,StatCan area #59150014
59150015,31.4,54.3,4.8,0.0,0.0,1.9,5.7,0.0,1.9,StatCan area #59150015
59150016,21.1,73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150016
59150017,40.8,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150017
59150018,47.4,48.4,2.1,0.0,0.0,2.1,0.0,0.0,0.0,StatCan area #59150018
59150019,37.1,56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150019
59150020,25.6,68.6,0.0,0.0,0.0,4.7,0.0,0.0,0.0,StatCan area #59150020
59150021,58.2,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150021
59150022,13.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150022
59150023,43.9,51.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,StatCan area #59150023
59150024,36.8,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150024
59150025,34.6,55.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150025
59150027,53.6,32.7,8.2,0.0,0.0,0.0,0.0,0.0,2.7,StatCan area #59150027
59150028,43.0,40.7,14.0,0.0,0.0,2.3,0.0,0.0,0.0,StatCan area #59150028
59150029,39.7,43.8,9.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150029
59150030,42.4,44.0,9.6,0.0,0.0,1.6,0.0,0.0,0.0,StatCan area #59150030
59150031,23.8,68.7,6.1,0.0,0.0,2.0,0.0,0.0,0.0,StatCan area #59150031
59150032,43.6,47.4,7.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150032
59150033,40.0,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150033
59150034,21.3,67.0,7.4,0.0,0.0,0.0,0.0,0.0,2.1,StatCan area #59150034
59150035,23.3,59.8,7.9,5.8,0.0,1.1,0.0,0.0,2.6,StatCan area #59150035
59150036,22.1,63.2,4.2,0.0,0.0,0.0,0.0,0.0,6.3,StatCan area #59150036
59150037,38.1,45.1,12.4,0.0,0.0,3.5,0.0,0.0,0.0,StatCan area #59150037
59150038,33.8,46.2,7.5,3.8,0.0,0.0,5.0,0.0,3.8,StatCan area #59150038
59150039,36.6,53.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150039
59150040,52.9,35.7,10.0,0.0,0.0,0.0,2.9,0.0,0.0,StatCan area #59150040
59150041,24.2,63.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150041
59150042,39.5,43.4,11.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150042
59150043,50.0,44.7,5.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150043
59150044,28.9,42.1,27.3,0.0,0.0,0.0,0.0,0.0,1.7,StatCan area #59150044
59150045,37.4,41.7,16.5,0.0,0.0,0.0,0.0,0.0,3.5,StatCan area #59150045
59150046,37.5,40.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150046
59150047,41.7,40.5,9.5,0.0,0.0,0.0,0.0,0.0,2.4,StatCan area #59150047
59150048,28.3,52.2,18.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150048
59150049,29.0,62.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,StatCan area #59150049
59150050,25.7,62.4,8.3,0.0,0.0,3.7,0.0,0.0,0.0,StatCan area #59150050
59150051,40.7,51.3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150051
59150052,38.2,51.5,5.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150052
59150053,28.9,51.6,14.1,0.0,0.0,4.7,0.0,0.0,0.0,StatCan area #59150053
59150054,37.1,39.6,14.5,0.0,0.0,3.8,1.3,0.0,3.8,StatCan area #59150054
59150055,40.0,54.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150055
59150056,34.8,43.5,21.0,0.0,0.0,0.0,0.0,0.0,1.4,StatCan area #59150056
59150059,39.7,44.2,11.6,0.0,0.0,0.0,2.0,0.0,2.0,StatCan area #59150059
59150062,14.1,34.1,48.2,0.0,0.0,0.0,0.0,0.0,2.4,StatCan area #59150062
59150064,33.0,46.4,16.1,0.0,0.0,1.8,0.0,0.0,0.0,StatCan area #59150064
59150067,28.7,58.4,8.9,0.0,0.0,0.0,2.0,0.0,0.0,StatCan area #59150067
59150068,39.6,50.5,9.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150068
59150069,31.9,49.6,10.6,0.0,0.0,0.0,1.8,0.0,5.3,StatCan area #59150069
59150070,40.0,61.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150070
59150071,43.9,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150071
59150072,31.2,52.6,12.3,0.0,0.0,0.0,0.8,0.0,1.6,StatCan area #59150072
59150073,30.4,55.4,8.8,0.0,0.0,2.5,2.5,0.0,1.0,StatCan area #59150073
59150074,43.0,45.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #59150074
59150075,30.9,63.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,StatCan area #59150075
